text,emotion,dialog_idx,utterance_idx,speaker,act
What’s it for?,no emotion,1208,1,1,question
It’s for a book.,no emotion,1208,2,0,inform
"Oh, that’s a nice idea. Well, it’s fine if you take our picture.",happiness,1208,3,1,commissive
Thank you. I appreciate your help.,happiness,1208,4,0,inform
How was the movie last night?,no emotion,1209,0,1,question
I didn't really like it.,disgust,1209,1,0,inform
Mary said that she was really pleased with the photography.,no emotion,1209,2,1,inform
"Umm, I found it very disappointing.",disgust,1209,3,0,inform
"She liked the acting, too, because that's what she wanted to see.",no emotion,1209,4,1,inform
I wasn't happy with it.,disgust,1209,5,0,inform
Nothing is to your satisfaction.,no emotion,1209,6,1,inform
What do you think?,no emotion,1210,0,1,question
It looks great.,no emotion,1210,1,0,inform
I would like to purchase it.,no emotion,1210,2,1,directive
Will this be cash or credit?,no emotion,1210,3,0,question
"Here, take my credit card.",no emotion,1210,4,1,inform
"Just sign here, please.",no emotion,1210,5,0,directive
Sure. Here you go.,no emotion,1210,6,1,commissive
Here's your receipt. Have a nice day.,happiness,1210,7,0,commissive
"Thanks for inviting me to work out with you, Joan.",happiness,1211,0,1,inform
"Don't mention it, let's go in.",no emotion,1211,1,0,inform
"Yeah, this place looks great. Wow, look at her, she can certainly get down, can't she?",no emotion,1211,2,1,question
"She sure can. Are you jealous, Leslie?",no emotion,1211,3,0,question
"A little, I wish I could do that.",no emotion,1211,4,1,inform
You can! With a little practice.,no emotion,1211,5,0,inform
"Look at him, he's buff.",no emotion,1211,6,1,inform
I think he's hot too.,no emotion,1211,7,0,inform
How do they all get in such tiptop shape?,no emotion,1211,8,1,question
Exercised over and over. Exercise is a key.,no emotion,1211,9,0,inform
That's it. I decided to turn over a new leaf. I'm going to exercise every single day.,no emotion,1211,10,1,inform
"Good for you, Leslie!",happiness,1211,11,0,inform
"Please come in, Steven.",no emotion,1212,0,1,directive
"All right, Mrs. Green.",no emotion,1212,1,0,commissive
Have a seat over there. How are things going out in the office?,no emotion,1212,2,1,question
Pretty well. Everyone is working hard.,no emotion,1212,3,0,inform
"But, our business has been going down sharply the couple of months and we have to reduce some staff.",no emotion,1212,4,1,directive
You mean I'm among the people who have to go?,surprise,1212,5,0,question
I'm afraid so.,no emotion,1212,6,1,inform
Did I do something wrong?,sadness,1212,7,0,question
"You're the sales manager, but our sales didn't go up.",no emotion,1212,8,1,inform
But you know I've been working very hard. And I have a family to support.,sadness,1212,9,0,directive
"I feel sorry, but that's the decision of the directorate.",no emotion,1212,10,1,commissive
Can I have the roll of film developed here?,no emotion,1213,0,1,directive
Surely of course.,no emotion,1213,1,0,commissive
Here is the film. Can I get my pictures tomorrow?,no emotion,1213,2,1,directive
Besides I want two copies of all the photos.,no emotion,1213,4,1,directive
Waitress.,no emotion,1214,0,0,inform
Yes sir. How can I help you?,no emotion,1214,1,1,question
Please clean up the table.,no emotion,1214,2,0,directive
OK. And anything else I can do for you?,no emotion,1214,3,1,question
I like a refill please.,no emotion,1214,4,0,directive
"Hello, John. How are you?",no emotion,1215,0,1,question
"I'm fine, thanks. And you?",no emotion,1215,1,0,question
"Very well, thanks. Nice to see you again. I haven't seen you for a long time. What have you been doing lately?",no emotion,1215,2,1,question
"Oh, nothing much really. Umm and how is everything with you?",no emotion,1215,3,0,question
"Fine, thanks. I've been busy lately.",no emotion,1215,4,1,inform
What have you been doing?,no emotion,1215,5,0,question
I've been studying for my exams. My school exams will begin next month.,no emotion,1215,6,1,inform
Really? Good luck for them.,surprise,1215,7,0,inform
Thanks. And how are your parents?,happiness,1215,8,1,question
"They're both very well, thanks.",happiness,1215,9,0,inform
Where are you going now?,no emotion,1215,10,1,question
I'm going to do some shopping. Why don't you come with me?,happiness,1215,11,0,directive
I can't. I have to meet someone.,happiness,1215,12,1,commissive
It's been nice talking to you.,happiness,1215,13,0,inform
Good-bye. See you again sometime.,happiness,1215,14,1,inform
Can I bring you anything else?,no emotion,1216,0,0,directive
"No, thank you. Just the check.",happiness,1216,1,1,commissive
Let me get this.,no emotion,1216,2,0,directive
"No, it is my treat.",no emotion,1216,3,1,commissive
Are you sure?,no emotion,1216,4,0,question
"Yes, I owed you for last time.",no emotion,1216,5,1,inform
"All right. If you insist. Next time it is on me, though.",no emotion,1216,6,0,directive
Would you ring these up for me here?,no emotion,1217,0,0,directive
I would be happy to. Did you find everything you needed?,no emotion,1217,1,1,question
"Yes, I did, thanks.",happiness,1217,2,0,inform
The total is two-hundred dollars. Would you like to put that on Sears card?,no emotion,1217,3,1,question
"Umm, no, I'll pay for it in cash.",no emotion,1217,4,0,inform
What is your favorite kind of music?,no emotion,1218,0,0,question
I listen to various types of music.,no emotion,1218,1,1,inform
What genres?,no emotion,1218,2,0,question
I enjoy listening to both Rock and R&B.,no emotion,1218,3,1,inform
What interests you in that type of music?,no emotion,1218,4,0,question
I enjoy the different types of instruments that they use.,no emotion,1218,5,1,inform
That is a perfect reason to like a certain kind of music.,no emotion,1218,6,0,inform
That's exactly what I think too.,no emotion,1218,7,1,inform
"Mrs. Lee, I’ve stayed here for almost a week. Umm and I really must leave tomorrow.",no emotion,1219,0,0,inform
Please feel free to stay as long as you want. You know you’re always welcome here.,no emotion,1219,1,1,directive
Thank you. You’ve been so nice to me.,happiness,1219,2,0,commissive
Is there anything else I can do for you before your leave?,no emotion,1219,3,1,directive
"No, thanks. You’ve done a lot for me already. Thank you for everything.",happiness,1219,4,0,commissive
Don’t mention it. I’ve really enjoyed your company.,happiness,1219,5,1,inform
"Umm, is there anything I can do for you?",no emotion,1220,0,1,question
Yes. I am looking for a pair of gloves.,no emotion,1220,1,0,inform
What about this one? It's the latest.,no emotion,1220,2,1,directive
"Excuse me, but I want a pair of mittens.",no emotion,1220,3,0,commissive
"I am sorry, it's out of stock right now.",sadness,1220,4,1,inform
How did your vacation go?,no emotion,1221,0,1,question
I traveled the Three Gorges.,no emotion,1221,1,0,inform
What about the trip? Do you enjoy yourself?,no emotion,1221,2,1,question
"Yes, we had a good time. The trip was terrific. We toured the Three Gorges by boat. It's realty exciting!",no emotion,1221,3,0,inform
Did your boat float down the river?,no emotion,1221,4,1,question
"Umm yes. There are many places where the gorge is very narrow, with steep cliffs on both sides.",no emotion,1221,5,0,inform
Sounds dangerous.,happiness,1221,6,1,inform
"Yes, but we have life jackets. And we got a real kick out of that.",no emotion,1221,7,0,inform
What a thrilling trip!,fear,1221,8,1,inform
"Julia, what's the weather forecast for tomorrow?",no emotion,1222,0,0,question
It says a storm may come tomorrow.,no emotion,1222,1,1,inform
Oh! I hate rainy days!,disgust,1222,2,0,inform
"Me, too. I'm always in low spirits when it rains. Umm are you going out tomorrow?",no emotion,1222,3,1,question
Yes. I have to drive to Washington D. C.,no emotion,1222,4,0,inform
What bad luck!,no emotion,1222,5,1,inform
Yeah! But you know sometimes the weather forecast is not correct. Maybe tomorrow is a clear day. Who knows?,happiness,1222,6,0,inform
"Yeah, maybe you are right!",happiness,1222,7,1,inform
Does this bus go to Fisherman's Wharf?,no emotion,1223,0,0,question
"Oh, good. Transfer, please.",happiness,1223,2,0,directive
Please let me know when we get there.,no emotion,1223,4,0,directive
It sounds like you're from out of town.,no emotion,1223,5,1,commissive
"As a matter of fact, I'm from Taiwan.",no emotion,1223,6,0,inform
I'm sure you'll like Fisherman's Wharf. It's a popular tourist spot. Be sure to try the seafood there.,no emotion,1223,7,1,inform
I will. Thanks.,no emotion,1223,8,0,inform
Today is the old couple’s golden wedding.,no emotion,1224,0,0,inform
That must be a long love story.,no emotion,1224,1,1,inform
Yeah. They promised to stick together forever when they were young.,no emotion,1224,2,0,inform
They have made it. Will our love last fifty years?,no emotion,1224,3,1,question
I don’t know.,no emotion,1224,4,0,inform
"Excuse me, could I have a menu please?",no emotion,1225,0,1,directive
Here you are.,no emotion,1225,1,0,commissive
"I want to try the local specialty. Umm, can you recommend me some?",no emotion,1225,2,1,directive
Sure. I think filet steak will be a good choice. It's the best local food.,no emotion,1225,3,0,commissive
"Fine, bring us double.",no emotion,1225,4,1,directive
Can I help you?,no emotion,1226,0,0,question
"Yes, I would like to buy a Walkman. Can you tell me about the models you have?",no emotion,1226,1,1,directive
"Well, we have a lot of models here. Did you want to listen to CD's or cassettes or the radio?",no emotion,1226,2,0,question
Mostly cassette tapes.,no emotion,1226,3,1,inform
Alright. Umm there are several models you may want to look at.This Kreng portable cassette player is very good.,no emotion,1226,4,0,directive
Kreng? I've never heard of that company.,surprise,1226,5,1,question
"It's a German company. This unit has auto-reverse, recording capability, and an AM, FM radio band.It also has a built-in microphone.",no emotion,1226,6,0,inform
I suppose I don't want that one then. I don't like auto-reverse. It breaks too easily.,no emotion,1226,7,1,commissive
Really? Have you had an auto-reverse break before?,surprise,1226,8,0,question
"Yes, twice now. I think it's too high-tech, and so it's the first part that breaks.",no emotion,1226,9,1,inform
"Hmm. You know, the problem might be dust. Did you clean the unit often?",no emotion,1226,10,0,question
"Well. No, I didn't clean it.But still, I only had the last one two months, and it broke. I don't trust auto-reverse.",no emotion,1226,11,1,inform
"We have many units without auto-reverse. Here is a good unit. It has an AM, FM band, built-in microphone, recording capability, and no auto-reverse.",no emotion,1226,12,0,directive
How much is it?,no emotion,1226,13,1,question
This one sells for thirty nine ninety nine dollars.,no emotion,1226,14,0,inform
Can I test it out?,no emotion,1226,15,1,directive
Of course.,happiness,1226,16,0,commissive
It sounds great. I'll take it.,happiness,1226,17,1,commissive
Fine. I think you'll be happy with it. It's a very good unit. Very reliable. I'll go get you a new one in a box. I will be back in just a moment.,happiness,1226,18,0,directive
Thanks.,happiness,1226,19,1,commissive
"I'm checking out now. Can I have my bill, please?",no emotion,1227,0,0,directive
"Sure. What's your room number, sir?",no emotion,1227,1,1,question
It's eighty seven thirty six. Here is my key card.,no emotion,1227,2,0,inform
"A minute, please. It's sixty two twelve yuan all together. Tax included.",no emotion,1227,3,1,directive
Can I pay with traveler's check?,no emotion,1227,4,0,question
"Sure. Can I have your passport, please?",no emotion,1227,5,1,directive
Here you are.,no emotion,1227,6,0,commissive
"Thanks. Are you satisfied with your stay here with us, sir?",no emotion,1227,7,1,question
"Yes, thank you.",no emotion,1227,8,0,question
"If I remember correctly, time of delivery is another point in which we differ.",no emotion,1228,0,0,inform
That's right. Let's go into details of it.,no emotion,1228,1,1,directive
OK. I hope you can have these goods delivered before the end of September. We'd like them to be ready in time for our Christmas sales.,no emotion,1228,2,0,directive
"Christmas doesn't come until the end of the year, does it?",no emotion,1228,3,1,question
"No. But in the United States, the Christmas season begins about a month before December twenty fifth.",no emotion,1228,4,0,directive
"Well, I'm afraid a little bit difficult for us to advanced the time of shipment. Our manufacturers are fully committed at the moment.",no emotion,1228,5,1,commissive
I hope you can try to get them to step up production.,no emotion,1228,6,0,directive
They are already working three shifts a day to step up production as new orders keep pouring in.,no emotion,1228,7,1,commissive
"If that's the case, there's nothing to be done about it.",no emotion,1228,8,0,inform
I'm sorry.,no emotion,1228,9,1,inform
What's your last word as to the delivery date then?,no emotion,1228,10,0,question
By the middle of October. This is the best we can do.,no emotion,1228,11,1,directive
All right. I'll take your words at that.,no emotion,1228,12,0,commissive
"Good. Umm let's call it a deal. And we'll do our best to advance the shipment, but your letter of credit should be opened early September.",no emotion,1228,13,1,directive
I promise.,no emotion,1228,14,0,commissive
"Hi, I'd like to get your store credit card.",no emotion,1229,0,1,directive
Here's the application form.,no emotion,1229,1,0,commissive
I'm finished. Here's the form.,no emotion,1229,2,1,inform
Thank you. Now if you'll just give me a credit card.,happiness,1229,3,0,directive
Here's my VISA.,no emotion,1229,4,1,commissive
Thank you.,happiness,1229,5,0,inform
That is a long line.,no emotion,1230,0,0,inform
Yes indeed. It has a very strict inspection so it takes a pretty long for everyone.,no emotion,1230,1,1,inform
A lot of things are prohibited to take on the plane?,no emotion,1230,2,0,question
"Yes, a lot. Stuffs which are explosive, radioactive and poisonous are forbidden.",no emotion,1230,3,1,inform
Understand. Do I need to take out my laptop from my suitcase?,no emotion,1230,4,0,question
"Yes, you do. And you need to put out liquid items and your laptop in the box for inspection.",no emotion,1230,5,1,directive
That is really strict.,no emotion,1230,6,0,commissive
"Yes, absolutely. But this is for everyone's sake, so we should do it as needed.",no emotion,1230,7,1,inform
"Nice to see you, Patrick.",happiness,1231,0,1,inform
Sophie! I hear your team won the match.,happiness,1231,1,0,inform
Yeah. All of us tried our best.,happiness,1231,2,1,inform
Congratulations!,happiness,1231,3,0,inform
Thanks.,happiness,1231,4,1,inform
Donna! How are you? It's good to hear your voice.,no emotion,1232,0,0,question
"Thank you. Jack, it's always a pleasure doing business with you.",no emotion,1232,1,1,inform
So how are things in the land of the free and the home of brave?,no emotion,1232,2,0,question
"Great! And, how are things in your neck of the woods?",no emotion,1232,3,1,inform
Things are so great here. I almost smiled myself to death last week. One of my coworkers had to give me CPR.,happiness,1232,4,0,inform
"Oh Jack, I have missed your sense of humor.Ha ha ha! Nobody else sees things quite like you do. It's your gift.",happiness,1232,5,1,inform
Or a curse.,no emotion,1232,6,0,inform
"Nope, it's a gift. Anyway, we need some more of those mid-range speakers you tricked me into buying last time.",no emotion,1232,7,1,directive
"That, my dear, was classic sales technique delivered by a professional.",no emotion,1232,8,0,commissive
Are you still gouging your customers the same price per unit?,no emotion,1232,9,1,question
"Heck no, we doubled the price, but because it's you, I'll let you have'em at fifty off.",no emotion,1232,10,0,directive
You silver-tongued devil. Can't you ever just answer a question with a simple yes or no?,no emotion,1232,11,1,directive
"I could, but where's the fun in that?",no emotion,1232,12,0,question
I think I'll write a book.,no emotion,1233,0,0,inform
What about?,no emotion,1233,1,1,question
All of the time tested healthy habits from around the world.,no emotion,1233,2,0,inform
You have done a lot of traveling. I'll bet you've learned quite a bit.,no emotion,1233,3,1,inform
The interesting thing is to see what really works and what's just hyped.,no emotion,1233,4,0,inform
Because you can see the results with the general public?,no emotion,1233,5,1,question
That's right. I think we all have much we can learn from each other.,no emotion,1233,6,0,inform
I would buy that kind of book!,happiness,1233,7,1,inform
"Darling, I am back. What are you doing?",no emotion,1234,0,0,question
"I'm washing clothes. Are you hungry now? Wait for a moment, I'll cook dinner for you. (Steven bends his brows)",no emotion,1234,1,1,directive
"B, should we get a maid?",no emotion,1234,2,0,question
I can do all the housework. We don't need a maid.,no emotion,1234,3,1,inform
"You have worked very hard in the office. If we can get someone to help you, you can have more rest.",no emotion,1234,4,0,inform
We really don't need to.,no emotion,1234,5,1,inform
"You are a good wife, Julia. But you must take care of yourself.",no emotion,1234,6,0,directive
Give me some time to think about it.,no emotion,1234,7,1,commissive
It's too hot to read.,no emotion,1235,0,0,inform
We'd better go out for a walk.,no emotion,1235,1,1,directive
Which season do you like best?,no emotion,1235,2,0,question
Spring.,no emotion,1235,3,1,inform
How about summer?,no emotion,1235,4,0,question
I dislike it most.,disgust,1235,5,1,inform
Because the hottest season is summer in a year.,no emotion,1235,7,1,inform
Umm but sometimes summer is more charming than the other seasons.,no emotion,1235,8,0,inform
"John, do you mind helping me prepare for the picnic?",happiness,1236,0,1,directive
No. Have you checked the weather report?,happiness,1236,1,0,question
Yes. It says it will be sunny all day. No sign of rain at all.,happiness,1236,2,1,inform
I'd like some toast and chicken wings.,happiness,1236,3,0,inform
OK. Please take some fruit salad and crackers for me.,happiness,1236,4,1,directive
"Done. Oh, don't forget to take napkins, disposable plates, cups and picnic blanket.",happiness,1236,5,0,commissive
"That's great. We can also take the dragon kite with us. After the picnic, we can fly it.",happiness,1236,6,1,directive
"Cool, we can take shuttlecock and badminton racket.",happiness,1236,7,0,commissive
"OK, it sounds good.",happiness,1236,8,1,commissive
"This is my admission card, and these are the books.",no emotion,1237,0,0,directive
"OK, a moment, please.",no emotion,1237,1,1,commissive
"By the way, can I renew the borrowing?",no emotion,1237,2,0,directive
Umm for which one?,no emotion,1237,3,1,question
"Sense and Sensibility, English version.",no emotion,1237,4,0,inform
"Yes, of course.",no emotion,1237,5,1,commissive
Can I just do it here?,no emotion,1237,6,0,directive
Sorry. No. You should go to the other counter.,no emotion,1237,7,1,directive
"OK, thanks.",no emotion,1237,8,0,commissive
"Sorry, this biography is over the deadline. You should pay extra for it.",no emotion,1237,9,1,directive
I was thinking of buying this from the bookstore when my father got this from the library. how much should I pay?,no emotion,1237,10,0,question
"Three Yuan, please.",no emotion,1237,11,1,inform
Here you are. Thanks.,no emotion,1237,12,0,commissive
You are welcome. See you next time.,no emotion,1237,13,1,inform
"What's all the security check about, Jimmy? Does it mean the bar may be a dangerous place?",no emotion,1238,0,1,question
"No, of course not. Just in case. Nothing to worry about. Umm don't you also do this in China?",no emotion,1238,1,0,question
"I don't know. Maybe the same. Actually, this is my first time being in a bar.",no emotion,1238,2,1,inform
"Oh, then it's my honor to be here with you. I can see now why you've been so curious about the bar. You like this place?",happiness,1238,3,0,question
"Sure. I love this place, especially the decoration. So tasteful!",happiness,1238,4,1,inform
"Yeah. Other than that, the real feature is the excellent drinks. Can I have your ticket?",happiness,1238,5,0,directive
"Here it is. But, what for? We're already in.",happiness,1238,6,1,commissive
"Well, with the ticket, you can get a free drink. What would you like? Orange juice?",happiness,1238,7,0,directive
"Yes, orange juice will be fine for me. But how can you get the drink? It's so crowded there around the counter. You can barely move.",happiness,1238,8,1,commissive
"I'll show you how. The bartenders know whose turn it is. And also, I can snap my fingers to catch his attention.",happiness,1238,9,0,directive
"Cool. Thanks. ( Jimmy brings May a glass of orange juice. )  Oh, fresh juice, I love it. Well, I heard American people love hanging out in bars. Is that true?",happiness,1238,10,1,commissive
"Not everyone. But a lot of people do, especially the young. It's a fine place to spend an evening with friends or to make some new friends.",happiness,1238,11,0,inform
"Interesting. Hey, look over there. The dance floor is already packed with people. Oh, the girl in red dances great.",happiness,1238,12,1,inform
"Yeah, a dancing queen. Wanna go and join them?",happiness,1238,13,0,directive
Maybe later. I wanna take some photos first.,happiness,1238,14,1,commissive
OK. Let me help you to hold the drink.,happiness,1238,15,0,directive
Thank you.,happiness,1238,16,1,commissive
What do you usually have for breakfast? Pancakes or waffles?,no emotion,1239,0,1,question
I usually have cereal for breakfast.,no emotion,1239,1,0,inform
But isn't it served with cold milk?,no emotion,1239,2,1,question
Yeah. Cold milk wakes me up.,no emotion,1239,3,0,inform
Chinese people don't like to eat cold food.,no emotion,1239,4,1,inform
Is that right?,no emotion,1239,5,0,question
"But I'm open to new things. I'll have a bowl of cereal, too.",no emotion,1239,6,1,inform
With cold milk?,no emotion,1239,7,0,question
With cold milk!,no emotion,1239,8,1,inform
Passport and Embarkation card please.,no emotion,1240,0,0,directive
"Here you are, sir.",no emotion,1240,1,1,commissive
Where are you from?,no emotion,1240,2,0,question
I am from China.,no emotion,1240,3,1,inform
Umm did you have anything to declare?,no emotion,1240,4,0,question
"No, nothing.",no emotion,1240,5,1,inform
"Would you open this suitcase, please?",no emotion,1240,6,0,directive
Let me take a look at this bag. Can you open it?,no emotion,1240,8,0,directive
Is this camera a gift for someone?,no emotion,1240,10,0,question
"No, it's my camera for personal use.",no emotion,1240,11,1,inform
You have to pay tax for this camera.,no emotion,1240,12,0,directive
"No, please don't. It's is for my personal use.",no emotion,1240,13,1,commissive
"You have a lot of gifts, so you have to pay for the camera.",no emotion,1240,14,0,directive
Almost all are for my friends in the States.,no emotion,1240,15,1,commissive
Hello. I sent out my laundry yesterday. Aren't they ready?,no emotion,1241,0,0,question
They'll be ready by this afternoon.,no emotion,1241,1,1,inform
"Oh, no! I'm leaving for Japan at eleven this morning.",surprise,1241,2,0,inform
Is that right? We're very sorry.,sadness,1241,3,1,question
"I thought it was 'the same day' service. Anyway, please do hurry.",no emotion,1241,4,0,directive
I'm afraid we can't return it by eleven o'clock.,sadness,1241,5,1,commissive
"Well, then, would you send it to Japan, please?",no emotion,1241,6,0,directive
"Yes, we'll do so.",no emotion,1241,7,1,commissive
May I see your boarding pass?,no emotion,1242,0,0,directive
Here you go.,no emotion,1242,1,1,commissive
Fourty eight C. It's on your left hand side.,no emotion,1242,2,0,directive
Thank you.,no emotion,1242,3,1,commissive
"Please fasten your seat belt, miss.",no emotion,1242,4,0,directive
Oops! I forgot.,no emotion,1242,5,1,commissive
"Also, please place your carry-on luggage either under your seat or in the overhead compartment.",no emotion,1242,6,0,directive
Umm I think I'll put my bag in the overhead compartment.,no emotion,1242,7,1,directive
Allow me to give you a hand.,no emotion,1242,8,0,directive
"Hi, Sophie! Long time no see!",no emotion,1243,0,0,inform
"Hi, Alex!",no emotion,1243,1,1,inform
Where have you been?,no emotion,1243,2,0,question
I just got back from London.,no emotion,1243,3,1,inform
How was your flight?,no emotion,1243,4,0,question
"It was OK. There was a lot of turbulence, though.",no emotion,1243,5,1,inform
That’s too bad. How long was the flight?,no emotion,1243,6,0,question
It was ten hours.,no emotion,1243,7,1,inform
Did you have a layover?,no emotion,1243,8,0,question
"Yes, in Paris, France.",no emotion,1243,9,1,inform
Did you buy anything in the duty-free stores?,no emotion,1243,10,0,question
Yes. I bought two boxed of chocolate – one for me and one for you!,happiness,1243,11,1,inform
"Oh, you didn’t have to...",happiness,1243,12,0,inform
It was nothing.,happiness,1243,13,1,inform
Shall we go to the library by subway?,no emotion,1244,0,1,directive
"Yes, it's far quicker and less complicated.",no emotion,1244,1,0,commissive
OK. There is no subway in my city.,no emotion,1244,2,1,inform
Really?,no emotion,1244,3,0,question
Yes. Does it operate night and day?,no emotion,1244,4,1,question
"Yes, and seven days a week.",no emotion,1244,5,0,inform
Where do we pay the fare?,no emotion,1244,6,1,question
"Follow me, please.",no emotion,1244,7,0,directive
Do I have to pay an additional fare to change trains?,no emotion,1244,8,1,question
"Umm no, you don't have to.",no emotion,1244,9,0,inform
"OK, I see.",no emotion,1244,10,1,inform
Is everything alright?,no emotion,1245,0,0,question
"Yes, everything is fine.",no emotion,1245,1,1,inform
Umm what took so long? I thought your flight was supposed to arrive three hours ago!,no emotion,1245,2,0,question
Didn't they announce that our flight was delayed?,surprise,1245,3,1,question
I didn't hear anything about a delay. I thought everything was running on time. What happened?,no emotion,1245,4,0,question
"We boarded the plane on time, but then we were held up for almost an hour due to a maintenance problem.",no emotion,1245,5,1,inform
Then what? Your plane was three hours late!,no emotion,1245,6,0,question
"We finally took off, but about thirty minutes later, the captain came on the loudspeaker to warn us that there would be some bad turbulence.",no emotion,1245,7,1,inform
"Turbulence is pretty normal, isn't it?",no emotion,1245,8,0,question
"Yes, but this was the worst turbulence I'd ever experienced in my life! Everyone started getting sick. The captain decided to land early.",no emotion,1245,9,1,inform
So where did you land?,no emotion,1245,10,0,question
We landed in Southampton and waited an hour for the storms to pass and then took off again.,no emotion,1245,11,1,inform
That sounds like a nightmare!,no emotion,1245,12,0,inform
It wasn't too bad. At lease I'm alive.,no emotion,1245,13,1,inform
Have you had anything to eat?,no emotion,1245,14,0,question
I managed to get a sandwich from a flight attendant. How about you?,no emotion,1245,15,1,question
I had a few coffees while I was waiting. Let's get out of here!,no emotion,1245,16,0,inform
"Why don't you sit down and relax, darling?",no emotion,1246,0,0,directive
Umm I don't want to.,no emotion,1246,1,1,commissive
"Well, come over and talk to me then.",no emotion,1246,2,0,directive
Certainly not.,sadness,1246,3,1,commissive
May I turn on the TV then?,no emotion,1246,4,0,directive
"Turn on the TV, for what?",no emotion,1246,5,1,question
So that we can sit down together and listen to some music.,anger,1246,6,0,inform
"Listen to the music? And who will cook dinner, will you?",no emotion,1246,7,1,question
"I will, but let's go to the disco after dinner.",no emotion,1246,8,0,directive
"To a disco? Oh, no. You know I hate it.",no emotion,1246,9,1,commissive
"Umm excuse me, I've been waiting here for ten minutes. Do you know how often does Number. Six-thirty-six run?",no emotion,1247,0,0,question
It runs every fifteen minutes. You must have missed it.,no emotion,1247,1,1,inform
It seems you got here at good time. Do you have a bus schedule?,no emotion,1247,2,0,question
"Yes, I do. You can buy a bus schedule in a news stand.",no emotion,1247,3,1,directive
"I see, thank you. Umm By the way, is this the right bus for the Museum?",no emotion,1247,4,0,question
"Yes, it is.",no emotion,1247,5,1,inform
Do I have to change?,no emotion,1247,6,0,question
No. The Museum is the terminal of this bus.,no emotion,1247,7,1,inform
Thanks a lot.,happiness,1247,8,0,inform
You are welcome.,happiness,1247,9,1,inform
I decided to give it a go!,happiness,1248,0,1,inform
Good for you. What items did you bid on?,happiness,1248,1,0,question
A DENY shirt and one of Serena Williams' used tennis rackets!,happiness,1248,2,1,inform
Your idol! Wow! You're even better at finding stuff than me!,happiness,1248,3,0,inform
Yep. I placed a bid for the shirt. The minimum was ten so I bet fifty!,happiness,1248,4,1,inform
That's not how this game works.,no emotion,1248,5,0,inform
"Well, there was a sign that said 'Buy now for seventy'.",no emotion,1248,6,1,inform
How many bids had been placed before you?,no emotion,1248,7,0,question
"Where will you go, sir?",no emotion,1249,1,1,question
Friendship Hotel.,no emotion,1249,2,0,inform
"OK, it's not far from here.",no emotion,1249,3,1,inform
"I have something important to do, can you fast the speed?",no emotion,1249,4,0,directive
"Sure, I'll try my best. Here we are.",no emotion,1249,5,1,commissive
Umm... How much should I pay you?,no emotion,1249,6,0,question
The reading on the meter is fifteen yuan.,no emotion,1249,7,1,inform
"Here's twenty yuan, keep the change.",no emotion,1249,8,0,directive
Thank you very much.,happiness,1249,9,1,commissive
How do you think about our boss?,no emotion,1250,0,1,question
He's the nicest boss I've had.,happiness,1250,1,0,inform
"Yes, I think he's the most relaxing person in management.",no emotion,1250,2,1,inform
"What's more, he said I was the hardest working person in the office!",happiness,1250,3,0,inform
That's good. Maybe you'll get promoted.,no emotion,1250,4,1,inform
I hope so.,no emotion,1250,5,0,inform
How does it fit?,no emotion,1251,0,0,question
It fits fine. I’ll take it. How much is it?,no emotion,1251,1,1,question
The price is on the tag. How would you like to pay?,no emotion,1251,2,0,question
Umm do you take credit cards?,no emotion,1251,3,1,question
"Yes, we do.",no emotion,1251,4,0,inform
Great. Here's my Visa Credit Card.,happiness,1251,5,1,inform
Here's your receipt. Thank you for shopping here and have a nice day.,happiness,1251,6,0,inform
Thank you.,happiness,1251,7,1,inform
"Hi, I have a reservation for flight zero zero seven to New York.",no emotion,1252,0,1,inform
May I see your ticket and photo ID?,no emotion,1252,1,0,directive
"Yes, here's my ticket and my driver's license.",no emotion,1252,2,1,commissive
Are these your bags?,no emotion,1252,3,0,question
"Yes, they are.",no emotion,1252,4,1,inform
Have you been asked to carry anything for a stranger?,no emotion,1252,5,0,question
Have you maintained full control of your possessions while in the airport?,no emotion,1252,7,0,question
"Yes, I have.",no emotion,1252,8,1,inform
Umm excuse me. Do you happen to have a gym here?,no emotion,1253,0,0,question
"Yes, sir. I think you'll find our gym quite satisfactory.",no emotion,1253,1,1,inform
"So, where do I go to exercise?",no emotion,1253,2,0,question
"It's only one floor down, sir. Just take the elevator or the stairs.",no emotion,1253,3,1,directive
Am I going to be charged extra for using the gym?,no emotion,1253,4,0,question
"Sir, you can use the gym for free. All you need is your room key.",no emotion,1253,5,1,directive
"Great! Now tell me, what are the hours of this gym?",no emotion,1253,6,0,question
"Sir, our gym is open around the clock, every day of the week.",no emotion,1253,7,1,directive
OK. Do you have a trainer to help me work out?,no emotion,1253,8,0,question
"I'm sorry, sir, but we have no trainer.",no emotion,1253,9,1,inform
What’s the Mountaineering Club doing this weekend?,no emotion,1254,0,0,question
We are going to climb a cliff on the Colorado River.,no emotion,1254,1,1,directive
How hard is the climb?,no emotion,1254,2,0,question
Umm... It is a very difficult climb because there are not many places to put your hands and feet.,no emotion,1254,3,1,inform
What did you do last week?,no emotion,1254,4,0,question
We rappelled down the side of three hundred - foot cliff. It was very exciting.,no emotion,1254,5,1,inform
Wow! That sounds like a lot of fun. I’m sorry I missed it.,happiness,1254,6,0,inform
"Well, you should come this weekend. I think you could do the climb.",happiness,1254,7,1,directive
"Yeah, I will. See you then!",happiness,1254,8,0,commissive
OK. See you.,happiness,1254,9,1,inform
